category,title,content
Spor,1979-80 Türkiye Basketbol Ligi,"Türkiye Basketbol Ligi 1979-80 sezonu, Türkiye Basketbol Ligi'nin 14. sezonu olan 1979-80 sezonunun sonuçları ve istatistikleri göstermektedir."
Spor,1980-81 Türkiye Basketbol Ligi,"Türkiye Basketbol Ligi 1980-81 sezonu, Türkiye Basketbol Ligi'nin 15. sezonu olan 1980-81 sezonunun sonuçları ve istatistikleri göstermektedir. 1980-81 Sezonu, beraberliğin maç sonucu olarak tescil edildiği, galibiyete 3, beraberliğe 2, mağlubiyete 1 puan verildiği son sezondur."
Spor,Fenerbahçe Masa Tenisi Şubesi 1979-80 sezonu,"Fenerbahçe Masa Tenisi Şubesi erkek takımı 1979-80 sezonunda İstanbul ve Türkiye ikincisi olurken, iki Teşvik Turnuvası birinciliği sonucunda katıldığı Federasyon Kupası ve Gençlik ve Spor Bakanlığı Kupası'nda şampiyon oldu."
Spor,Fenerbahçe Masa Tenisi Şubesi 1980-81 sezonu,Fenerbahçe Masa Tenisi Şubesi erkek takımı 1980-81 sezonunda İstanbul şampiyonu oldu. Sarı-lacivertliler Türkiye Şampiyonası ve Federasyon Kupası'nda ise ikinci oldular.
Spor,İslam Ülkeleri Spor Oyunları,"İslam Ülkeleri Spor Oyunları, 28 Eylül-5 Ekim 1980 tarihlerinde Türkiye'nin İzmir şehrinde düzenlenen ve Müslüman ülkelerden gelen sporcuların katıldığı çok sporlu etkinlikti.[1]"
Spor,1980-81 Türkiye Basketbol Ligi,"Türkiye Basketbol Ligi 1980-81 sezonu, Türkiye Basketbol Ligi'nin 15. sezonu olan 1980-81 sezonunun sonuçları ve istatistikleri göstermektedir. 1980-81 Sezonu, beraberliğin maç sonucu olarak tescil edildiği, galibiyete 3, beraberliğe 2, mağlubiyete 1 puan verildiği son sezondur."
Spor,1981-82 Türkiye Basketbol Ligi,"Türkiye Basketbol Ligi 1981-82 sezonu, Türkiye Basketbol Ligi'nin 16. sezonu olan 1981-82 sezonunun sonuçları ve istatistikleri göstermektedir."
Spor,1981-82 Türkiye Erkekler Voleybol Ligi,"Türkiye Deplasmanlı Erkekler Voleybol Ligi 1981-82 sezonu, Efeler Ligi'nin 12. sezonudur. Yedi şehirden (İstanbul, Ankara, İzmir, Bursa, Adana, Sakarya ve Tekirdağ) 16 takımın katıldığı lig, grup usulüne göre oynandı."
Spor,Fenerbahçe Masa Tenisi Şubesi 1980-81 sezonu,Fenerbahçe Masa Tenisi Şubesi erkek takımı 1980-81 sezonunda İstanbul şampiyonu oldu. Sarı-lacivertliler Türkiye Şampiyonası ve Federasyon Kupası'nda ise ikinci oldular.
Spor,Fenerbahçe Masa Tenisi Şubesi 1981-82 sezonu,"Fenerbahçe Masa Tenisi Şubesi erkek takımı 1981-82 sezonunda büyük başarılara imza attı. Sezona Teşvik Turnuvası şampiyonu olarak giren Sarı-lacivertliler sırasıyla Federasyon Kupası ve Gençlik ve Spor Bakanlığı Kupası'nı kazandıktan sonra, üstüste ikinci kez İstanbul şampiyonluğuna ulaştı. Takım Türkiye Şampiyonası'nda ise ikinci oldu."
Spor,1981-82 Türkiye Basketbol Ligi,"Türkiye Basketbol Ligi 1981-82 sezonu, Türkiye Basketbol Ligi'nin 16. sezonu olan 1981-82 sezonunun sonuçları ve istatistikleri göstermektedir."
Spor,1981-82 Türkiye Erkekler Voleybol Ligi,"Türkiye Deplasmanlı Erkekler Voleybol Ligi 1981-82 sezonu, Efeler Ligi'nin 12. sezonudur. Yedi şehirden (İstanbul, Ankara, İzmir, Bursa, Adana, Sakarya ve Tekirdağ) 16 takımın katıldığı lig, grup usulüne göre oynandı."
Spor,1982-83 Türkiye Erkekler Voleybol Ligi,"Türkiye Deplasmanlı Erkekler Voleybol Ligi 1982-83 sezonu, Efeler Ligi'nin 13. sezonudur. Dokuz şehirden (İstanbul, Ankara, İzmir, Bursa, Adana, Sakarya, Tekirdağ, Kocaeli ve Samsun) 16 takımın katıldığı lig, grup usulüne göre oynandı."
Spor,Fenerbahçe Masa Tenisi Şubesi 1981-82 sezonu,"Fenerbahçe Masa Tenisi Şubesi erkek takımı 1981-82 sezonunda büyük başarılara imza attı. Sezona Teşvik Turnuvası şampiyonu olarak giren Sarı-lacivertliler sırasıyla Federasyon Kupası ve Gençlik ve Spor Bakanlığı Kupası'nı kazandıktan sonra, üstüste ikinci kez İstanbul şampiyonluğuna ulaştı. Takım Türkiye Şampiyonası'nda ise ikinci oldu."
Spor,Fenerbahçe Masa Tenisi Şubesi 1982-83 sezonu,"Fenerbahçe Masa Tenisi Şubesi erkek takımı 1982-83 sezonunda son yıllardaki büyük başarılarını sürdürdü. Sarı-lacivertliler önce İstanbul, ardından Türkiye şampiyonu oldu. Aynı sezon ilk kez düzenlenen Türkiye Ligi'nde ise ikinciliğe ulaştı."
Spor,1982-83 Türkiye Erkekler Voleybol Ligi,"Türkiye Deplasmanlı Erkekler Voleybol Ligi 1982-83 sezonu, Efeler Ligi'nin 13. sezonudur. Dokuz şehirden (İstanbul, Ankara, İzmir, Bursa, Adana, Sakarya, Tekirdağ, Kocaeli ve Samsun) 16 takımın katıldığı lig, grup usulüne göre oynandı."
Spor,Fenerbahçe Boks Şubesi 1983-84 sezonu,"Fenerbahçe Boks Şubesi 1983-84 sezonunda İstanbul Ferdi Boks Şampiyonası'nda üçüncü olurken, Türkiye Ferdi Boks Şampiyonası'nda 5 madalya kazanarak büyük bir başarıya imza attı."
Spor,Fenerbahçe Masa Tenisi Şubesi 1982-83 sezonu,"Fenerbahçe Masa Tenisi Şubesi erkek takımı 1982-83 sezonunda son yıllardaki büyük başarılarını sürdürdü. Sarı-lacivertliler önce İstanbul, ardından Türkiye şampiyonu oldu. Aynı sezon ilk kez düzenlenen Türkiye Ligi'nde ise ikinciliğe ulaştı."
Spor,1983-84 Türkiye Basketbol Ligi,"Türkiye Basketbol Ligi 1983-84 sezonu, Türkiye Basketbol Ligi'nin 18. sezonu olan 1983-84 sezonunun sonuçları ve istatistikleri göstermektedir."
Spor,1984-85 Türkiye Basketbol Ligi,"Türkiye Basketbol Ligi 1984-1985 sezonu, Türkiye Basketbol Ligi'nin 19. sezonu olan 1984-1985 sezonunun sonuçları ve istatistikleri göstermektedir."
Spor,Fenerbahçe Boks Şubesi 1983-84 sezonu,"Fenerbahçe Boks Şubesi 1983-84 sezonunda İstanbul Ferdi Boks Şampiyonası'nda üçüncü olurken, Türkiye Ferdi Boks Şampiyonası'nda 5 madalya kazanarak büyük bir başarıya imza attı."
Spor,1984 Kış Olimpiyatları'nda Türkiye,"Türkiye, Yugoslavya'nın (bugün Bosna-Hersek) Saraybosna şehrindeki 1984 Kış Olimpiyatları'nda yarıştı. Türkiye 2 dalda toplam 7 sporcuyla temsil edilmiştir."
Spor,1984 Yaz Olimpiyatları'nda Türkiye,Türkiye 1984 Yaz Olimpiyatları'nda mücadele etmiştir. Amerika Birleşik Devletleri'nin Los Angeles kentindeki organizasyona 46 sporcu göndermiş olup Türk sporcular 3 bronz madalya kazanmıştır.[1][2]
Spor,1984-85 Türkiye Basketbol Ligi,"Türkiye Basketbol Ligi 1984-1985 sezonu, Türkiye Basketbol Ligi'nin 19. sezonu olan 1984-1985 sezonunun sonuçları ve istatistikleri göstermektedir."
Spor,1985-86 Türkiye Basketbol Ligi,"Türkiye Basketbol Ligi 1985-1986 sezonu, Türkiye Basketbol Ligi'nin 20. sezonu olan 1985-1986 sezonunun sonuçları ve istatistikleri göstermektedir."
Spor,Fenerbahçe Masa Tenisi Şubesi 1985-86 sezonu,Fenerbahçe Masa Tenisi Şubesi 1985-86 sezonunda sadece erkeklerde mücadele verdi. Sarı-lacivertli takım Türkiye Ligi'nde ikinci oldu.
Spor,1985-86 Türkiye Basketbol Ligi,"Türkiye Basketbol Ligi 1985-1986 sezonu, Türkiye Basketbol Ligi'nin 20. sezonu olan 1985-1986 sezonunun sonuçları ve istatistikleri göstermektedir."
Spor,1986-87 Türkiye Basketbol Ligi,"Türkiye Basketbol Ligi 1986-1987 sezonu, Türkiye Basketbol Ligi'nin 21. sezonu olan 1986-1987 sezonunun sonuçları ve istatistikleri göstermektedir."
Spor,1986-87 Türkiye Erkekler Voleybol Ligi,"Türkiye Deplasmanlı Erkekler Voleybol Ligi 1986-87 sezonu, Efeler Ligi'nin 17. sezonudur. Altı şehirden (İstanbul, Ankara, İzmir, Bursa, Kocaeli ve Samsun) 14 takımın katıldığı lig, deplasmanlı lig usulüne göre oynandı."
Spor,Fenerbahçe Masa Tenisi Şubesi 1985-86 sezonu,Fenerbahçe Masa Tenisi Şubesi 1985-86 sezonunda sadece erkeklerde mücadele verdi. Sarı-lacivertli takım Türkiye Ligi'nde ikinci oldu.
Spor,Fenerbahçe Masa Tenisi Şubesi 1986-87 sezonu,Fenerbahçe Masa Tenisi Şubesi 1986-87 sezonunda sadece erkeklerde mücadele verdi. Sarı-lacivertli takım Türkiye Masatenisi Şampiyonası'nda yedinci oldu.
Spor,1986 Dünya Güreş Şampiyonası,"1986 Dünya Güreş Şampiyonası, serbest ve grekoromen stil kategorilerinde 24. defa düzenlenen organizasyondur. Müsabakalara ev sahipliğini 19-26 Ekim tarihleri arasında Macaristan'nin Budapeşte kenti yapmıştır."
Spor,1986 Yaşar Doğu Turnuvası,"1986 Yaşar Doğu Güreş Turnuvası, 16-17 Eylül 1986 tarihleri arasında Türkiye'nin İzmir kentinde düzelenen bir güreş yarışmasıdır. 1986 yılında 14’üncüsü düzenlenmiştir. 1986 yılında uluslararası katılım olmamıştır.[1]"
Spor,1987 Akdeniz Oyunları'nda Türkiye,"Türkiye 11-25 Eylül tarihleri arasında Lazkiye'de düzenlenen 1987 Akdeniz Oyunları'na katıldı. Oyunlarda mücadele eden 212 Türk sporcu, sekizi altın toplam 39 madalya ile, madalya sıralamasının yedinci basamağında yer aldı."
Spor,1986-87 Türkiye Basketbol Ligi,"Türkiye Basketbol Ligi 1986-1987 sezonu, Türkiye Basketbol Ligi'nin 21. sezonu olan 1986-1987 sezonunun sonuçları ve istatistikleri göstermektedir."
Spor,1987-88 Türkiye Basketbol Ligi,"Türkiye Basketbol Ligi 1987-1988 sezonu, Türkiye Basketbol Ligi'nin 22. sezonu olan 1987-1988 sezonunun sonuçları ve istatistikleri göstermektedir."
Spor,1986-87 Türkiye Erkekler Voleybol Ligi,"Türkiye Deplasmanlı Erkekler Voleybol Ligi 1986-87 sezonu, Efeler Ligi'nin 17. sezonudur. Altı şehirden (İstanbul, Ankara, İzmir, Bursa, Kocaeli ve Samsun) 14 takımın katıldığı lig, deplasmanlı lig usulüne göre oynandı."
Spor,1987-88 Türkiye Erkekler Voleybol Ligi,"Türkiye Deplasmanlı Erkekler Voleybol Ligi 1987-88 sezonu, Efeler Ligi'nin 18. sezonudur. Beş şehirden (İstanbul, Ankara, İzmir, Bursa ve Samsun) 12 takımın katıldığı lig, deplasmanlı lig usulüne göre oynandı."
Spor,Fenerbahçe (erkek voleybol takımı) 1987-88 sezonu,Fenerbahçe Voleybol Takımı 1987-88 sezonunda Türkiye Erkekler Voleybol Ligi'nde mücadele etmiştir.
